Kids,,,,,,,,,,,,,,,,Salario Mensual,Salario Quincenal,,,,,,
Seguro,$800.00,$400.00,TRUE,"$9,500.00",$791.67,,2Now Gastos,Nu Cajita Auto,,,,,,,,,,,,,,,#REF!
Matenimiento,$800.00,$400.00,TRUE,"$9,500.00",$791.67,,2Now Gastos,Nu Cajita Auto,,,,,,,,,,,,,,,
Lavado,$600.00,$300.00,FALSE,,$600.00,,2Now Gastos,Nu Cajita Auto,,,,,,,,,,,,,,,
Tenencia,$400.00,$200.00,TRUE,"$4,000.00",$333.33,,2Now Gastos,Nu Cajita Auto,,,,,,,,,,,,,,,
Verificacion,$200.00,$100.00,TRUE,"$1,500.00",$125.00,,2Now Gastos,Nu Cajita Auto,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Total,"$17,500.00","$8,750.00",,,"$17,341.67",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Zuhause,,,,,,,,,,,,,,,,,,,,,,,
Nombre,Mensual ,Quincenal,Es Anual,,,,Cuenta Cargo ,Cuenta Deposito ,,,,,,,,,,,,,,,
Renta,"$37,500.00","$18,750.00",FALSE,,"$37,500.00",,HSBC ,HSBC Flexible,,,,,,,,,,,,,,,
Supermercado y comida,"$20,000.00","$10,000.00",FALSE,,"$20,000.00",,2Now Hogar,Nu Cajita Hogar,,,,,,,,,,,,,,,
Limpieza  Alicia ,"$3,500.00","$1,750.00",FALSE,,"$3,440.00","430, contando 8  limpiezas al mes",HSBC ,HSBC ,,,,,,,,,,,,,,,
Limpieza Sra Dalia,"$2,000.00","$1,000.00",FALSE,,"$2,000.00",4 jueves por mes,HSBC ,HSBC ,,,,,,,,,,,,,,,
Gas,$800.00,$400.00,FALSE,,$750.00,Recargando 1500 cada 2 meses,2Now Hogar,Nu Cajita Hogar,,,,,,,,,,,,,,,
Electricidad,$700.00,$350.00,FALSE,,$625.00,Asumiendo un gasto de 1250 al bimestre,2Now Hogar,Nu Cajita Hogar,,,,,,,,,,,,,,,
Agua,$300.00,$150.00,FALSE,,$285.00,450 Bartolache + 120 Santa Anita,2Now Hogar,Nu Cajita Hogar,,,,,,,,,,,,,,,
Basura (Sr. Polo),$300.00,$150.00,FALSE,,$280.00,,HSBC ,HSBC ,,,,,,,,,,,,,,,
Cuota Admin. Sta Anita,"$1,800.00",$900.00,FALSE,,"$1,800.00",,HSBC ,HSBC Flexible,,,,,,,,,,,,,,,
Predial Sta Anita,$200.00,$100.00,TRUE,"$1,500.00",$125.00,,2Now Hogar,Stori Inversion +,,,,,,,,,,,,,,,
Hipoteca,$0.00,$0.00,FALSE,,$0.00,,HSBC ,HSBC ,,,,,,,,,,,,,,,
ISR Renta Departamento,$200.00,$100.00,FALSE,,$110.00,,HSBC ,HSBC ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Total,"$67,300.00","$33,650.00",,,"$66,915.00",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Miscelaneos,,,,,,,,,,,,,,,,,,,,,,,
Nombre,Mensual ,Quincenal,Es Anual,,,,Cuenta Cargo ,Cuenta Deposito ,,,,,,,,,,,,,,,
Dalia mensualidad ,"$2,500.00","$1,250.00",FALSE,,"$2,500.00",,Nu Dalia Debito,Nu Dalia Debito,,,,,,,,,,,,,,,
Libre,"$4,000.00","$2,000.00",FALSE,,"$4,000.00",,2Now Gastos,Nu Cajita Gastos,,,,,,,,,,,,,,,
Efectivo,"$4,000.00","$2,000.00",FALSE,,"$4,000.00",,HSBC ,HSBC ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Total,"$10,500.00","$5,250.00",,,"$10,500.00",,,,,,,,,,,,,,,,,,
